"Authorising.Country","Vessel","Flag","Authorisation.Period","Area.s.","Target.Species","start_date","end_date"
"Chile","Antarctic Endeavour","Chile","01 Dec 2020 to 30 Nov 2021","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2020-12-01,2021-11-30
"Chile","Antarctic Endeavour","Chile","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2017-12-01,2018-11-30
"Chile","Antarctic Endeavour","Chile","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2018-12-01,2019-11-30
"Chile","Antarctic Endeavour","Chile","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2016-12-01,2017-11-30
"Chile","Antarctic Endeavour","Chile","04 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2019-12-04,2020-11-30
"Chile","Betanzos","Chile","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"Chile","Betanzos","Chile","01 Dec 2011 to 30 Nov 2012","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2011-12-01,2012-11-30
"Chile","Betanzos","Chile","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"Chile","Betanzos","Chile","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2015-12-01,2016-11-30
"Chile","Betanzos","Chile","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2014-12-01,2015-11-30
"Chile","Cabo de Hornos","Chile","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2018-12-01,2019-11-30
"Chile","Cabo de Hornos","Chile","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"Chile","Diego Ramirez","Chile","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"China","An Xing Hai","China","01 Dec 2011 to 31 Aug 2012","Subarea 48.1 Subarea 48.2","Euphausia superba",2011-12-01,2012-08-31
"China","Fu Rong Hai","China","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Division 58.4.1 Division 58.4.2","Euphausia superba",2019-12-01,2020-11-30
"China","Fu Rong Hai","China","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"China","Fu Rong Hai","China","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2016-12-01,2017-11-30
"China","Fu Rong Hai","China","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"China","Fu Rong Hai","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2014-12-01,2015-11-30
"China","Fu Rong Hai","China","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2015-12-01,2016-11-30
"China","Fu Rong Hai","China","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Division 58.4.1 Division 58.4.2","Euphausia superba",2017-12-01,2018-11-30
"China","Fu Rong Hai","China","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Division 58.4.1 Division 58.4.2","Euphausia superba",2018-12-01,2019-11-30
"China","Fu Yuan Yu 9818","China","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2019-12-01,2020-11-30
"China","Kai Fu Hao","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Kai Li","China","01 Dec 2011 to 31 Aug 2012","Subarea 48.1 Subarea 48.2","Euphausia superba",2011-12-01,2012-08-31
"China","Kai Li","China","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2013-12-01,2014-11-30
"China","Kai Li","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Kai Shun","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Kai Xin","China","01 Dec 2011 to 30 Nov 2012","Subarea 48.1 Subarea 48.2","Euphausia superba",2011-12-01,2012-11-30
"China","Kai Xin","China","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"China","Kai Yu","China","01 Dec 2011 to 31 Aug 2012","Subarea 48.1 Subarea 48.2","Euphausia superba",2011-12-01,2012-08-31
"China","Kai Yu","China","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2013-12-01,2014-11-30
"China","Feolent","Ukraine","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"China","Long Da","China","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2016-12-01,2017-11-30
"China","Long Da","China","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2015-12-01,2016-11-30
"China","Long Da","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Long Fa","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Long Fa","China","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2019-12-01,2020-11-30
"China","Long Teng","China","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2015-12-01,2016-11-30
"China","Long Teng","China","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Division 58.4.1 Division 58.4.2","Euphausia superba",2016-12-01,2017-11-30
"China","Long Teng","China","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2013-12-01,2014-11-30
"China","Long Teng","China","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Division 58.4.2 Division 58.4.1","Euphausia superba",2018-12-01,2019-11-30
"China","Long Teng","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Long Teng","China","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Division 58.4.2","Euphausia superba",2019-12-01,2020-11-30
"China","Long Teng","China","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Division 58.4.1 Division 58.4.2","Euphausia superba",2017-12-01,2018-11-30
"China","Ming Kai","China","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"China","Ming Kai","China","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Division 58.4.1 Division 58.4.2","Euphausia superba",2016-12-01,2017-11-30
"China","Ming Kai","China","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2015-12-01,2016-11-30
"Japan","Fukuei Maru","Japan","01 Dec 2011 to 31 Jul 2012","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2011-12-01,2012-07-31
"Korea, Republic of","Adventure","Korea, Republic of","13 Jul 2012 to 30 Nov 2012","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2012-07-13,2012-11-30
"Korea, Republic of","Adventure","Korea, Republic of","01 Dec 2012 to 26 Sep 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2012-12-01,2013-09-26
"Korea, Republic of","Dongsan Ho","Korea, Republic of","01 Dec 2011 to 31 Aug 2012","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Subarea 48.5 Subarea 48.6","Euphausia superba",2011-12-01,2012-08-31
"Korea, Republic of","Insung Ho","Korea, Republic of","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2018-12-01,2019-11-30
"Korea, Republic of","Insung Ho","Korea, Republic of","01 Dec 2011 to 30 Nov 2012","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2011-12-01,2012-11-30
"Korea, Republic of","Insung Ho","Korea, Republic of","25 Jun 2019 to 24 Jun 2024","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2019-06-25,2024-06-24
"Korea, Republic of","Insung Ho","Korea, Republic of","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2012-12-01,2013-11-30
"Korea, Republic of","Insung Ho","Korea, Republic of","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2","Euphausia superba",2016-12-01,2017-11-30
"Korea, Republic of","Insung Ho","Korea, Republic of","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2019-12-01,2020-11-30
"Korea, Republic of","Insung Ho","Korea, Republic of","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2","Euphausia superba",2017-12-01,2018-11-30
"Korea, Republic of","Insung Ho","Korea, Republic of","01 Dec 2015 to 30 Nov 2016","Subarea 48.1","Euphausia superba",2015-12-01,2016-11-30
"Korea, Republic of","Insung Ho","Korea, Republic of","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2013-12-01,2014-11-30
"Korea, Republic of","Kwang Ja Ho","Korea, Republic of","25 Jun 2019 to 24 Jun 2024","Subarea 48.1 Subarea 48.2","Euphausia superba",2019-06-25,2024-06-24
"Korea, Republic of","Kwang Ja Ho","Korea, Republic of","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2","Euphausia superba",2019-12-01,2020-11-30
"Korea, Republic of","Kwang Ja Ho","Korea, Republic of","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2013-12-01,2014-11-30
"Korea, Republic of","Kwang Ja Ho","Korea, Republic of","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2","Euphausia superba",2014-12-01,2015-11-30
"Korea, Republic of","Kwang Ja Ho","Korea, Republic of","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2","Euphausia superba",2018-12-01,2019-11-30
"Korea, Republic of","Kwang Ja Ho","Korea, Republic of","01 Dec 2011 to 30 Nov 2012","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2011-12-01,2012-11-30
"Korea, Republic of","Kwang Ja Ho","Korea, Republic of","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2012-12-01,2013-11-30
"Korea, Republic of","Kwang Ja Ho","Korea, Republic of","01 Dec 2016 to 30 Nov 2017","Subarea 48.1","Euphausia superba",2016-12-01,2017-11-30
"Korea, Republic of","Kwang Ja Ho","Korea, Republic of","01 Dec 2015 to 30 Nov 2016","Subarea 48.1","Euphausia superba",2015-12-01,2016-11-30
"Korea, Republic of","Kwang Ja Ho","Korea, Republic of","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2","Euphausia superba",2017-12-01,2018-11-30
"Korea, Republic of","Maestro","Korea, Republic of","01 Dec 2011 to 30 Nov 2012","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4 Subarea 48.5 Subarea 48.6","Euphausia superba",2011-12-01,2012-11-30
"Korea, Republic of","Sejong","Korea, Republic of","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2017-12-01,2018-11-30
"Korea, Republic of","Sejong","Korea, Republic of","27 Sep 2013 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2013-09-27,2013-11-30
"Korea, Republic of","Sejong","Korea, Republic of","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2016-12-01,2017-11-30
"Korea, Republic of","Sejong","Korea, Republic of","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2018-12-01,2019-11-30
"Korea, Republic of","Sejong","Korea, Republic of","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2015-12-01,2016-11-30
"Korea, Republic of","Sejong","Korea, Republic of","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2013-12-01,2014-11-30
"Korea, Republic of","Sejong","Korea, Republic of","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2019-12-01,2020-11-30
"Korea, Republic of","Sejong","Korea, Republic of","05 Jul 2020 to 04 Jul 2025","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2020-07-05,2025-07-04
"Korea, Republic of","Sejong","Korea, Republic of","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2014-12-01,2015-11-30
"Norway","Antarctic Endurance","Norway","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2019-12-01,2020-11-30
"Norway","Antarctic Endurance","Norway","01 Dec 2020 to 30 Nov 2021","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2020-12-01,2021-11-30
"Norway","Antarctic Endurance","Norway","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2018-12-01,2019-11-30
"Norway","Antarctic Sea","Norway","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2016-12-01,2017-11-30
"Norway","Antarctic Sea","Norway","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2014-12-01,2015-11-30
"Norway","Antarctic Sea","Norway","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2019-12-01,2020-11-30
"Norway","Antarctic Sea","Norway","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2015-12-01,2016-11-30
"Norway","Thorshovdi","Norway","01 Dec 2011 to 30 Nov 2012","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2011-12-01,2012-11-30
"Norway","Antarctic Sea","Norway","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"Norway","Antarctic Sea","Norway","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"Norway","Antarctic Sea","Norway","01 Dec 2020 to 30 Nov 2021","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2020-12-01,2021-11-30
"Norway","Antarctic Sea","Norway","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2018-12-01,2019-11-30
"Norway","Antarctic Sea","Norway","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2017-12-01,2018-11-30
"Norway","Juvel","Norway","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2017-12-01,2018-11-30
"Norway","Juvel","Norway","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2014-12-01,2015-11-30
"Norway","Juvel","Norway","01 Dec 2011 to 30 Nov 2012","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2011-12-01,2012-11-30
"Norway","Juvel","Norway","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"Norway","Juvel","Norway","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"Norway","Juvel","Norway","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2","Euphausia superba",2015-12-01,2016-11-30
"Norway","Juvel","Norway","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2016-12-01,2017-11-30
"Norway","Juvel","Norway","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2019-12-01,2020-11-30
"Norway","Saga Sea","Norway","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2016-12-01,2017-11-30
"Norway","Saga Sea","Norway","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2015-12-01,2016-11-30
"Norway","Saga Sea","Norway","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2018-12-01,2019-11-30
"Norway","Saga Sea","Norway","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2017-12-01,2018-11-30
"Norway","Saga Sea","Norway","01 Dec 2020 to 30 Nov 2021","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2020-12-01,2021-11-30
"Norway","Saga Sea","Norway","01 Dec 2019 to 30 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2019-12-01,2020-11-30
"Norway","Saga Sea","Norway","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"Norway","Saga Sea","Norway","01 Dec 2011 to 30 Nov 2012","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2011-12-01,2012-11-30
"Norway","Saga Sea","Norway","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"Norway","Saga Sea","Norway","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2014-12-01,2015-11-30
"Poland","Alina","Poland","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"Poland","Alina GDY-46","Poland","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2012-12-01,2013-11-30
"Poland","Saga","Poland","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"Poland","Sirius","Poland","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2012-12-01,2013-11-30
"Ukraine","More Sodruzhestva","Ukraine","01 Dec 2013 to 30 Nov 2014","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2013-12-01,2014-11-30
"Ukraine","More Sodruzhestva","Ukraine","01 Dec 2012 to 30 Nov 2013","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2012-12-01,2013-11-30
"Ukraine","More Sodruzhestva","Ukraine","01 Dec 2017 to 30 Nov 2018","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2017-12-01,2018-11-30
"Ukraine","More Sodruzhestva","Ukraine","01 Dec 2019 to 01 Nov 2020","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2019-12-01,2020-11-01
"Ukraine","More Sodruzhestva","Ukraine","01 Dec 2015 to 30 Nov 2016","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2015-12-01,2016-11-30
"Ukraine","More Sodruzhestva","Ukraine","01 Dec 2014 to 30 Nov 2015","Subarea 48.1 Subarea 48.2 Subarea 48.3 Subarea 48.4","Euphausia superba",2014-12-01,2015-11-30
"Ukraine","More Sodruzhestva","Ukraine","01 Dec 2018 to 30 Nov 2019","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2018-12-01,2019-11-30
"Ukraine","More Sodruzhestva","Ukraine","01 Dec 2016 to 30 Nov 2017","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2016-12-01,2017-11-30
"Ukraine","More Sodruzhestva","Ukraine","01 Dec 2020 to 30 Nov 2021","Subarea 48.1 Subarea 48.2 Subarea 48.3","Euphausia superba",2020-12-01,2021-11-30
